2024-07-07 14:32:14 [INFO] - Initializing Binance bot
2024-07-07 14:32:14 [INFO] - === Detected config file path (VM argument, optional): null ===
2024-07-07 14:32:14 [INFO] - Setting add1 candlestick interval to: 15m
2024-07-07 14:32:14 [INFO] - Setting candlestick interval to: 1h
2024-07-07 14:32:14 [INFO] - Setting add2 candlestick interval to: 1D
2024-07-07 14:32:18 [INFO] - Generating time series for DOGEUSDT
2024-07-07 14:32:19 [INFO] - Generating time series for ETHWUSDT
2024-07-07 14:32:20 [INFO] - Generating time series for FILUSDT
2024-07-07 14:32:20 [INFO] - Generating time series for BTCUSDT_240927
2024-07-07 14:32:21 [INFO] - Generating time series for ENJUSDT
2024-07-07 14:32:21 [INFO] - Generating time series for CRVUSDT
2024-07-07 14:32:22 [INFO] - Generating time series for GALUSDT
2024-07-07 14:32:23 [INFO] - Generating time series for BLURUSDT
2024-07-07 14:32:24 [INFO] - Generating time series for SFPUSDT
2024-07-07 14:32:25 [INFO] - Generating time series for BTCSTUSDT
2024-07-07 14:32:25 [INFO] - Generating time series for OMUSDT
2024-07-07 14:32:26 [INFO] - Generating time series for JASMYUSDT
2024-07-07 14:32:27 [INFO] - Generating time series for ETHUSDT
2024-07-07 14:32:28 [INFO] - Generating time series for DGBUSDT
2024-07-07 14:32:29 [INFO] - Generating time series for STGUSDT
2024-07-07 14:32:29 [INFO] - Generating time series for DYDXUSDT
2024-07-07 14:32:29 [INFO] - Generating time series for BBUSDT
2024-07-07 14:32:29 [INFO] - Generating time series for CELOUSDT
2024-07-07 14:32:30 [INFO] - Generating time series for ALGOUSDT
2024-07-07 14:32:30 [INFO] - Generating time series for 1000PEPEUSDT
2024-07-07 14:32:30 [INFO] - Generating time series for ACHUSDT
2024-07-07 14:32:30 [INFO] - Generating time series for GALAUSDT
2024-07-07 14:32:31 [INFO] - Generating time series for WLDUSDT
2024-07-07 14:32:31 [INFO] - Generating time series for RUNEUSDT
2024-07-07 14:32:31 [INFO] - Generating time series for PENDLEUSDT
2024-07-07 14:32:32 [INFO] - Generating time series for 1000SATSUSDT
2024-07-07 14:32:32 [INFO] - Generating time series for LITUSDT
2024-07-07 14:32:32 [INFO] - Generating time series for PYTHUSDT
2024-07-07 14:32:32 [INFO] - Generating time series for LUNA2USDT
2024-07-07 14:32:33 [INFO] - Generating time series for ONDOUSDT
2024-07-07 14:32:33 [INFO] - Generating time series for AEVOUSDT
