2024-07-06 00:04:16 [INFO] - Initializing Binance bot
2024-07-06 00:04:16 [INFO] - === Detected config file path (VM argument, optional): null ===
2024-07-06 00:04:16 [INFO] - Setting add1 candlestick interval to: 15m
2024-07-06 00:04:16 [INFO] - Setting candlestick interval to: 1h
2024-07-06 00:04:16 [INFO] - Setting add2 candlestick interval to: 1D
2024-07-06 00:04:19 [INFO] - Generating time series for 1000PEPEUSDT
2024-07-06 00:04:20 [INFO] - Generating time series for KSMUSDT
2024-07-06 00:04:21 [INFO] - Generating time series for BLURUSDT
2024-07-06 00:04:22 [INFO] - Generating time series for TLMUSDT
2024-07-06 00:04:23 [INFO] - Generating time series for AUDIOUSDT
2024-07-06 00:04:25 [INFO] - Generating time series for FRONTUSDT
2024-07-06 00:04:26 [INFO] - Generating time series for POWRUSDT
2024-07-06 00:04:27 [INFO] - Generating time series for MASKUSDT
2024-07-06 00:04:27 [INFO] - Generating time series for GMXUSDT
2024-07-06 00:04:28 [INFO] - Generating time series for ZROUSDT
2024-07-06 00:04:28 [INFO] - Generating time series for EGLDUSDT
2024-07-06 00:04:29 [INFO] - Generating time series for BTCUSDT
2024-07-06 00:04:30 [INFO] - Generating time series for APTUSDT
2024-07-06 00:04:31 [INFO] - Generating time series for GALUSDT
2024-07-06 00:04:32 [INFO] - Generating time series for XRPUSDT
2024-07-06 00:04:33 [INFO] - Generating time series for BATUSDT
2024-07-06 00:04:33 [INFO] - Generating time series for GTCUSDT
2024-07-06 00:04:33 [INFO] - Generating time series for TURBOUSDT
2024-07-06 00:04:33 [INFO] - Generating time series for ONDOUSDT
2024-07-06 00:04:34 [INFO] - Generating time series for SUIUSDT
2024-07-06 00:04:34 [INFO] - Generating time series for IDEXUSDT
2024-07-06 00:04:34 [INFO] - Generating time series for LTCUSDT
2024-07-06 00:04:35 [INFO] - Generating time series for SUSHIUSDT
2024-07-06 00:04:35 [INFO] - Generating time series for OXTUSDT
2024-07-06 00:04:35 [INFO] - Generating time series for CRVUSDT
2024-07-06 00:04:35 [INFO] - Generating time series for COTIUSDT
2024-07-06 00:04:36 [INFO] - Generating time series for AGIXUSDT
2024-07-06 00:04:36 [INFO] - Generating time series for DARUSDT
2024-07-06 00:04:36 [INFO] - Generating time series for ASTRUSDT
2024-07-06 00:04:36 [INFO] - Generating time series for DOGEUSDT
2024-07-06 00:04:37 [INFO] - Generating time series for FTMUSDT
2024-07-06 00:04:37 [INFO] - Generating time series for ZECUSDT
2024-07-06 00:04:37 [INFO] - Generating time series for AUCTIONUSDT
2024-07-06 00:04:38 [INFO] - Generating time series for CTKUSDT
2024-07-06 00:04:38 [INFO] - Generating time series for TAOUSDT
2024-07-06 00:04:38 [INFO] - Generating time series for GLMRUSDT
2024-07-06 00:04:39 [INFO] - Generating time series for LOOMUSDT
2024-07-06 00:04:39 [INFO] - Generating time series for MEWUSDT
2024-07-06 00:04:39 [INFO] - Generating time series for KAVAUSDT
2024-07-06 00:04:39 [INFO] - Generating time series for STRKUSDT
2024-07-06 00:04:40 [INFO] - Generating time series for ATAUSDT
2024-07-06 00:04:40 [INFO] - Generating time series for ADAUSDT
2024-07-06 00:04:40 [INFO] - Generating time series for FXSUSDT
2024-07-06 00:04:41 [INFO] - Generating time series for PHBUSDT
2024-07-06 00:04:41 [INFO] - Generating time series for IOUSDT
2024-07-06 00:04:41 [INFO] - Generating time series for AMBUSDT
2024-07-06 00:04:41 [INFO] - Generating time series for WOOUSDT
2024-07-06 00:04:42 [INFO] - Generating time series for KNCUSDT
2024-07-06 00:04:42 [INFO] - Generating time series for ACHUSDT
2024-07-06 00:04:42 [INFO] - Generating time series for YFIUSDT
2024-07-06 00:04:42 [INFO] - Generating time series for FTTUSDT
2024-07-06 00:04:43 [INFO] - Generating time series for ONTUSDT
2024-07-06 00:04:43 [INFO] - Generating time series for CKBUSDT
2024-07-06 00:04:43 [INFO] - Generating time series for DOTUSDT
2024-07-06 00:04:44 [INFO] - Generating time series for MAVIAUSDT
2024-07-06 00:04:44 [INFO] - Generating time series for BLUEBIRDUSDT
2024-07-06 00:04:44 [INFO] - Generating time series for RUNEUSDT
2024-07-06 00:04:45 [INFO] - Generating time series for ALICEUSDT
2024-07-06 00:04:45 [INFO] - Generating time series for IOTXUSDT
2024-07-06 00:04:45 [INFO] - Generating time series for ETCUSDT
2024-07-06 00:04:45 [INFO] - Generating time series for JOEUSDT
2024-07-06 00:04:46 [INFO] - Generating time series for VETUSDT
2024-07-06 00:04:46 [INFO] - Generating time series for METISUSDT
2024-07-06 00:04:46 [INFO] - Generating time series for WUSDT
2024-07-06 00:04:47 [INFO] - Generating time series for BONDUSDT
2024-07-06 00:04:47 [INFO] - Generating time series for EOSUSDT
2024-07-06 00:04:47 [INFO] - Generating time series for IDUSDT
2024-07-06 00:04:47 [INFO] - Generating time series for BEAMXUSDT
2024-07-06 00:04:48 [INFO] - Generating time series for ZETAUSDT
2024-07-06 00:04:48 [INFO] - Generating time series for HNTUSDT
2024-07-06 00:04:48 [INFO] - Generating time series for STRAXUSDT
2024-07-06 00:04:49 [INFO] - Generating time series for SFPUSDT
2024-07-06 00:04:49 [INFO] - Generating time series for BNTUSDT
2024-07-06 00:04:49 [INFO] - Generating time series for PIXELUSDT
2024-07-06 00:04:49 [INFO] - Generating time series for ANKRUSDT
2024-07-06 00:04:50 [INFO] - Generating time series for LUNA2USDT
2024-07-06 00:04:50 [INFO] - Generating time series for LSKUSDT
2024-07-06 00:04:50 [INFO] - Generating time series for XMRUSDT
2024-07-06 00:04:51 [INFO] - Generating time series for DENTUSDT
2024-07-06 00:04:51 [INFO] - Generating time series for GMTUSDT
2024-07-06 00:04:51 [INFO] - Generating time series for STXUSDT
2024-07-06 00:04:51 [INFO] - Generating time series for ARKUSDT
2024-07-06 00:04:52 [INFO] - Generating time series for SCUSDT
2024-07-06 00:04:52 [INFO] - Generating time series for 1000SHIBUSDT
2024-07-06 00:04:52 [INFO] - Generating time series for WAVESUSDT
2024-07-06 00:04:53 [INFO] - Generating time series for TUSDT
2024-07-06 00:04:53 [INFO] - Generating time series for GASUSDT
2024-07-06 00:04:53 [INFO] - Generating time series for ARUSDT
2024-07-06 00:04:53 [INFO] - Generating time series for MANTAUSDT
2024-07-06 00:04:54 [INFO] - Generating time series for NEARUSDT
2024-07-06 00:04:54 [INFO] - Generating time series for BTCUSDT_240927
2024-07-06 00:04:54 [INFO] - Generating time series for ONEUSDT
2024-07-06 00:04:55 [INFO] - Generating time series for MOVRUSDT
2024-07-06 00:04:55 [INFO] - Generating time series for BALUSDT
2024-07-06 00:04:55 [INFO] - Generating time series for TRUUSDT
2024-07-06 00:04:55 [INFO] - Generating time series for SSVUSDT
2024-07-06 00:04:56 [INFO] - Generating time series for APEUSDT
2024-07-06 00:04:56 [INFO] - Generating time series for 1000LUNCUSDT
2024-07-06 00:04:56 [INFO] - Generating time series for ETHUSDT
2024-07-06 00:04:57 [INFO] - Generating time series for COMBOUSDT
2024-07-06 00:04:57 [INFO] - Generating time series for OGNUSDT
2024-07-06 00:04:57 [INFO] - Generating time series for FOOTBALLUSDT
2024-07-06 00:04:57 [INFO] - Generating time series for LPTUSDT
2024-07-06 00:04:58 [INFO] - Generating time series for ORBSUSDT
2024-07-06 00:04:58 [INFO] - Generating time series for UMAUSDT
2024-07-06 00:04:58 [INFO] - Generating time series for C98USDT
2024-07-06 00:04:59 [INFO] - Generating time series for OMNIUSDT
2024-07-06 00:04:59 [INFO] - Generating time series for SNXUSDT
2024-07-06 00:04:59 [INFO] - Generating time series for YGGUSDT
2024-07-06 00:04:59 [INFO] - Generating time series for IOTAUSDT
2024-07-06 00:05:00 [INFO] - Generating time series for SXPUSDT
2024-07-06 00:05:00 [INFO] - Generating time series for OMGUSDT
2024-07-06 00:05:00 [INFO] - Generating time series for SOLUSDT
2024-07-06 00:05:00 [INFO] - Generating time series for XEMUSDT
2024-07-06 00:05:01 [INFO] - Generating time series for 1000SATSUSDT
2024-07-06 00:05:01 [INFO] - Generating time series for ACEUSDT
2024-07-06 00:05:02 [INFO] - Generating time series for ONGUSDT
2024-07-06 00:05:02 [INFO] - Generating time series for STGUSDT
2024-07-06 00:05:02 [INFO] - Generating time series for CHRUSDT
2024-07-06 00:05:02 [INFO] - Generating time series for REEFUSDT
2024-07-06 00:05:03 [INFO] - Generating time series for REZUSDT
