2024-07-09 19:04:16 [INFO] - Initializing Binance bot
2024-07-09 19:04:16 [INFO] - === Detected config file path (VM argument, optional): null ===
2024-07-09 19:04:16 [INFO] - Setting add1 candlestick interval to: 15m
2024-07-09 19:04:16 [INFO] - Setting candlestick interval to: 1h
2024-07-09 19:04:16 [INFO] - Setting add2 candlestick interval to: 1D
2024-07-09 19:04:18 [INFO] - Generating time series for KEYUSDT
2024-07-09 19:04:18 [INFO] - Generating time series for RSRUSDT
2024-07-09 19:04:19 [INFO] - Generating time series for ZENUSDT
2024-07-09 19:04:20 [INFO] - Generating time series for KAVAUSDT
2024-07-09 19:04:21 [INFO] - Generating time series for AUCTIONUSDT
2024-07-09 19:04:22 [INFO] - Generating time series for AUDIOUSDT
2024-07-09 19:04:22 [INFO] - Generating time series for ETHFIUSDT
2024-07-09 19:04:23 [INFO] - Generating time series for MBLUSDT
2024-07-09 19:04:24 [INFO] - Generating time series for AAVEUSDT
2024-07-09 19:04:25 [INFO] - Generating time series for IDUSDT
2024-07-09 19:04:26 [INFO] - Generating time series for IDEXUSDT
2024-07-09 19:04:26 [INFO] - Generating time series for ATAUSDT
2024-07-09 19:04:28 [INFO] - Generating time series for SUPERUSDT
2024-07-09 19:04:29 [INFO] - Generating time series for ENJUSDT
2024-07-09 19:04:30 [INFO] - Generating time series for DOGEUSDT
2024-07-09 19:04:31 [INFO] - Generating time series for FETUSDT
2024-07-09 19:04:32 [INFO] - Generating time series for ROSEUSDT
2024-07-09 19:04:32 [INFO] - Generating time series for STGUSDT
2024-07-09 19:04:32 [INFO] - Generating time series for 1000SHIBUSDT
2024-07-09 19:04:33 [INFO] - Generating time series for CVXUSDT
2024-07-09 19:04:33 [INFO] - Generating time series for KASUSDT
2024-07-09 19:04:33 [INFO] - Generating time series for USTCUSDT
2024-07-09 19:04:34 [INFO] - Generating time series for LITUSDT
2024-07-09 19:04:34 [INFO] - Generating time series for NTRNUSDT
2024-07-09 19:04:34 [INFO] - Generating time series for TLMUSDT
2024-07-09 19:04:34 [INFO] - Generating time series for AGLDUSDT
2024-07-09 19:04:35 [INFO] - Generating time series for XLMUSDT
2024-07-09 19:04:35 [INFO] - Generating time series for CTKUSDT
2024-07-09 19:04:35 [INFO] - Generating time series for ZRXUSDT
2024-07-09 19:04:36 [INFO] - Generating time series for HOTUSDT
2024-07-09 19:04:36 [INFO] - Generating time series for UNIUSDT
2024-07-09 19:04:36 [INFO] - Generating time series for BCHUSDT
2024-07-09 19:04:36 [INFO] - Generating time series for BTCUSDT_240927
2024-07-09 19:04:37 [INFO] - Generating time series for C98USDT
2024-07-09 19:04:37 [INFO] - Generating time series for AVAXUSDT
2024-07-09 19:04:37 [INFO] - Generating time series for HOOKUSDT
2024-07-09 19:04:37 [INFO] - Generating time series for PEOPLEUSDT
2024-07-09 19:04:38 [INFO] - Generating time series for NOTUSDT
2024-07-09 19:04:38 [INFO] - Generating time series for 1000FLOKIUSDT
2024-07-09 19:04:38 [INFO] - Generating time series for CELRUSDT
2024-07-09 19:04:39 [INFO] - Generating time series for PORTALUSDT
2024-07-09 19:04:39 [INFO] - Generating time series for LDOUSDT
2024-07-09 19:04:39 [INFO] - Generating time series for FXSUSDT
2024-07-09 19:04:39 [INFO] - Generating time series for IMXUSDT
2024-07-09 19:04:40 [INFO] - Generating time series for ATOMUSDT
2024-07-09 19:04:40 [INFO] - Generating time series for STEEMUSDT
2024-07-09 19:04:40 [INFO] - Generating time series for RIFUSDT
2024-07-09 19:04:41 [INFO] - Generating time series for ZROUSDT
2024-07-09 19:04:41 [INFO] - Generating time series for AXLUSDT
2024-07-09 19:04:41 [INFO] - Generating time series for EDUUSDT
2024-07-09 19:04:41 [INFO] - Generating time series for XEMUSDT
2024-07-09 19:04:42 [INFO] - Generating time series for ZKUSDT
2024-07-09 19:04:42 [INFO] - Generating time series for ILVUSDT
2024-07-09 19:04:42 [INFO] - Generating time series for BTCUSDT_241227
2024-07-09 19:04:43 [INFO] - Generating time series for FTTUSDT
2024-07-09 19:04:43 [INFO] - Generating time series for FTMUSDT
2024-07-09 19:04:43 [INFO] - Generating time series for BELUSDT
2024-07-09 19:04:44 [INFO] - Generating time series for ICXUSDT
2024-07-09 19:04:44 [INFO] - Generating time series for 1000SATSUSDT
2024-07-09 19:04:44 [INFO] - Generating time series for MANAUSDT
2024-07-09 19:04:44 [INFO] - Generating time series for IOTAUSDT
2024-07-09 19:04:45 [INFO] - Generating time series for TRBUSDT
2024-07-09 19:04:45 [INFO] - Generating time series for BLUEBIRDUSDT
2024-07-09 19:04:45 [INFO] - Generating time series for DUSKUSDT
2024-07-09 19:04:45 [INFO] - Generating time series for MYROUSDT
2024-07-09 19:04:46 [INFO] - Generating time series for MEWUSDT
2024-07-09 19:04:46 [INFO] - Generating time series for STRAXUSDT
2024-07-09 19:04:46 [INFO] - Generating time series for WOOUSDT
2024-07-09 19:04:47 [INFO] - Generating time series for CHRUSDT
